times,mean (ms),std (ms),device_id,runtime,batch_size
25,20.20598016679287,0.0670313092996366,cuda,onnx,1
25,123.98644536733627,0.1813504641177132,cuda,onnx,8
25,16.41973666846752,0.0173865737451706,cuda,onnx_tensorrt,1
25,107.90006816387177,0.3345802251715213,cuda,onnx_tensorrt,8
25,30.527904629707336,0.1218076286022551,cuda,torch,1
25,32.4806272983551,0.4503192903939634,cuda,torch,8
25,23.52183498442173,0.1218639881699346,cuda,torch_jit,1
25,38.43362629413605,0.1558131480123847,cuda,torch_jit,8
25,32.464202493429184,0.8515684166923165,cuda,torch,8
25,38.48876431584358,0.0950837638811208,cuda,torch_jit,8
25,123.9502876996994,0.1666815078351646,cuda,onnx,8
25,32.53505006432533,1.5971646644175053,cuda,torch,8
25,9.569317102432253,0.3823160368483513,cuda,onnx,8
25,16.689393669366837,0.1076209664461202,cuda,torch,8
25,934.9113702774048,2.147040097042918,cuda,onnx,64
25,218.2304412126541,53.70364710688591,cuda,torch,64
25,56.40601739287376,0.0918066289159469,cuda,onnx,64
25,16.96835458278656,0.1377588487230241,cuda,torch,64
25,56.37582764029503,0.0718793962732888,cuda,onnx,64
25,16.2032600492239,0.3462738241069019,cuda,torch,64
25,56.33940547704697,0.0547360359632875,cuda,onnx,64
25,16.010288149118423,0.1574256020830944,cuda,torch,64
25,45.35801336169243,0.0942586993915028,cuda,onnx_tensorrt,64
25,16.86924509704113,0.0936307042138651,cuda,torch,64
25,7.683283183723688,0.0784468429628759,cuda,onnx,1
25,15.812907367944717,0.5504321306943893,cuda,torch,1
